,Subject,PC_17Network_ThaROI401,PC_17Network_ThaROI402,PC_17Network_ThaROI403,PC_17Network_ThaROI404,PC_17Network_ThaROI405,PC_17Network_ThaROI406,PC_17Network_ThaROI407,PC_7Network_ThaROI401,PC_7Network_ThaROI402,PC_7Network_ThaROI403,PC_7Network_ThaROI404,PC_7Network_ThaROI405,PC_7Network_ThaROI406,PC_7Network_ThaROI407
15,DODASD024,0.18351316263809075,0.1335239583779619,0.33812769745248855,0.5109908149695223,0.625647542811612,0.2922718333896592,0.5195559585786531,0.20339900347004194,0.1585241543140701,0.5281964505702124,0.5489029029243008,0.665715556358652,0.2995052837950467,0.5394728220738979
16,DODASD027,0.5170247727084485,0.4077701580221781,0.0,0.045356834074453116,0.38637025520489626,0.18786256216721256,0.0,0.5467969746187655,0.42917461241784877,0.0,0.045356834074453116,0.4039466396988409,0.21386967553693179,0.0
17,DODASD029,0.0,0.0,0.10192003543517612,0.0,0.0,0.045376177181057645,0.0,0.0,0.0,0.15993247757698958,0.0,0.0,0.045376177181057645,0.0
18,DODASD030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,DODASD031,0.7203011636505163,0.5100603240891297,0.0,0.7153173019529332,0.7389710601275973,0.04022471481495357,0.40270755470740877,0.7765078213729205,0.5415047059192343,0.0,0.7975729253825924,0.8132993066840665,0.04022471481495357,0.4397829426877769
20,DODASD033,0.5019923936913888,0.5990822166117706,0.0,0.0,0.46774425212791254,0.474447695499344,0.0,0.5381887975948098,0.6371738072069393,0.0,0.0,0.5141363099941659,0.5122629614706852,0.0
21,DODASD034,0.024045623087423026,0.0841239966551803,0.6765112231027132,0.03325972778881521,0.055394202025471344,0.5616947811117706,0.0,0.024045623087423026,0.0841239966551803,0.753786776685763,0.03325972778881521,0.055394202025471344,0.5905674740501227,0.0
22,DODASD035,0.5899630474994738,0.6248977842593549,0.3603087850385375,0.6727439870072327,0.5935103427641616,0.6978148956989867,0.2784609014254965,0.6720867415895807,0.6672602582436454,0.5192367418971271,0.7619866969608503,0.6949879345737882,0.7995454225597907,0.29008337981968796
23,DODASD036,0.09066995165146945,0.32344749144064555,0.4928203005628188,0.0,0.05038940121718916,0.4780469534724398,0.0,0.09066995165146945,0.34933657877894486,0.5373158611715635,0.0,0.05038940121718916,0.5108816843223052,0.0
24,DODASD038,0.7347205891020269,0.7287365154260356,0.7142259850298791,0.613960177703775,0.7438319971107845,0.7213798247176949,0.6958979807520381,0.8293718237221054,0.8277239421705874,0.8233882757207683,0.6679310251455891,0.8308015975361596,0.8266027224709224,0.7830440963223168
25,DODASD039,0.3869590796164328,0.16568511649734183,0.0,0.5921891978344016,0.6650961001494603,0.0,0.16557877351736314,0.4095704750832722,0.16523419917672214,0.0,0.6203058907885199,0.7205573992196,0.0,0.16665317787061976
26,DODASD040,0.7333270986747418,0.746865363190775,0.7512621507569874,0.7149165775601918,0.7339917827929263,0.7554269425979782,0.13722368523003914,0.8020695174606647,0.8149930067977614,0.8137699879662414,0.7572171893478301,0.8024590626176461,0.8243634415535893,0.13722369035992266
27,DODASD042,0.5863237142287887,0.5087384173401662,0.0,0.28363367208733303,0.6090979552506389,0.0,0.0,0.5938268776325514,0.5166990345665552,0.0,0.2835729551715024,0.609001922123544,0.0,0.0
28,DODASD043,0.713536019126327,0.7027941419850577,0.29291505195101775,0.7088688907265155,0.7211567621449061,0.6369851495601315,0.7085790627288014,0.7773497202452181,0.7608741082893478,0.2929150538735376,0.7829541840165525,0.784563036508833,0.6620754125137771,0.7684504302194646
29,DODASD044,0.0,0.0,0.04544350320007892,0.0,0.0,0.0,0.0,0.0,0.0,0.04544350320007892,0.0,0.0,0.0,0.0
